name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude,coord_level
Học viện Báo chí và Tuyên truyền,Học viện Báo chí và Tuyên truyền,Q10771877,1962,thành phố Hà Nội,Hà Nội,Hà Nội,,Phạm Minh Sơn,Giám đốc,Học viện Chính trị quốc gia Hồ Chí Minh,,,21.037800,105.788000,Exact
Học viện Hải quân,Học viện Hải quân,Q7928533,2022,Việt Nam,Nha Trang,Khánh Hòa,,,,Bộ Quốc phòng,,,12.215100,109.207000,Exact
Trường Đại học An Giang,"Trường Đại học An Giang, Đại học Quốc gia Thành phố Hồ Chí Minh",Q4750013,1976,"18 Ung Văn Khiêm, phường Long Xuyên",Long Xuyên,An Giang,Đại học Quốc gia Thành phố Hồ Chí Minh,Võ Văn Thắng,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,490,,10.371800,105.431000,Exact
Trường Đại học Đà Lạt,Trường Đại học Đà Lạt,Q3177493,1975,"Số 1, Phù Đổng Thiên Vương",Đà Lạt,Lâm Đồng,,Lê Minh Chiến,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,3000,11.955639,108.442858,Exact
Trường Đại học Hải Phòng,Trường Đại học Hải Phòng,Q5638944,1959,Hải Phòng,Hải Phòng,Hải Phòng,,Bùi Xuân Hải,Hiệu trưởng,Bộ Giáo dục và Đào tạo,749,,20.839800,106.688000,Exact
Trường Đại học Hàng hải Việt Nam,Trường Đại học Hàng hải Việt Nam,Q7928523,1956,Hải Phòng,Hải Phòng,Hải Phòng,,Phạm Xuân Dương,Hiệu trưởng,Bộ Xây Dựng,683,,20.837335,106.695632,Exact
Trường Đại học Hùng Vương,Trường Đại học Hùng Vương,Q10829053,2003,Phường Nông Trang,Việt Trì,Phú Thọ,,Đỗ Khắc Thanh,Hiệu trưởng,Bộ Giáo dục và Đào tạo,315,,21.322700,105.401900,Approximate
Trường Đại học Khoa học Xã hội và Nhân văn,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Hà Nội",Q10829064,1945,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Hoàng Anh Tuấn,Hiệu trưởng,Đại học Quốc gia Hà Nội,292,13000,21.027800,105.834200,Approximate
Trường Đại học Kinh tế,"Trường Đại học Kinh tế, Đại học Quốc gia Hà Nội",Q5146680,1995,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Lê Trung Thành,Hiệu trưởng,Đại học Quốc gia Hà Nội,180,,21.027800,105.834200,Approximate
Trường Đại học Lạc Hồng,Trường Đại học Lạc Hồng,Q10829092,1997,"Số 10 Huỳnh Văn Nghệ, phường Trấn Biên",Biên Hòa,Đồng Nai,,Lâm Thành Hiển,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,20000,10.954500,106.802300,Exact
Trường Đại học Quốc tế Bắc Hà,Trường Đại học Quốc tế Bắc Hà,Q10829118,2007,Thị trấn Lim - huyện Tiên Du - Tỉnh Bắc Ninh,Hà Nội,Bắc Ninh,,PGS.TS.Nguyễn Quốc Trung,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Vinh,Trường Đại học Vinh,Q20984308,1959,phường Trường Vinh,Vinh,Nghệ An,,GS.TS.Nguyễn Huy Bằng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,1250,,18.658861,105.695889,Exact
